ModelID,ProfileID,ProfileType
ACH-000684,PR-3lR3Kt,dna
ACH-003143,PR-Is3tjY,rna
ACH-001850,PR-z6h4G5,rna
ACH-001850,PR-RBrfAT,dna
ACH-001347,PR-dDibQr,rna
ACH-001347,PR-72XNeT,dna
ACH-001673,PR-geQKUK,rna
ACH-001673,PR-lzNIhF,dna
ACH-001547,PR-oVFjCh,rna
ACH-001547,PR-w45aIp,dna
ACH-000129,PR-ZJS678,rna
ACH-000129,PR-poR0GY,dna
ACH-001563,PR-b3ZiM1,rna
ACH-001563,PR-fx9kEA,dna
ACH-000127,PR-cqE8Be,rna
ACH-000127,PR-tghtMl,dna
ACH-003012,PR-nk7NhS,rna
ACH-003012,PR-YB7Ihh,dna
ACH-000530,PR-zTH41R,rna
ACH-000530,PR-0qqA8m,dna
ACH-000744,PR-KpSPQh,rna
ACH-000744,PR-I5tq2d,dna
ACH-002371,PR-uRt0D1,dna
ACH-000538,PR-XyJQ2O,rna
ACH-000538,PR-VY6lxi,dna
ACH-000716,PR-96ardQ,rna
ACH-000716,PR-QXCygP,dna
ACH-000859,PR-ypABRs,rna
ACH-000859,PR-wyYRyw,dna
ACH-000792,PR-RMpAVe,rna
ACH-000792,PR-JJZgHy,dna
ACH-002132,PR-WbTN8k,dna
ACH-002337,PR-xCLW2a,dna
ACH-001997,PR-IVFp8S,rna
ACH-001997,PR-QQ2Hv2,dna
ACH-002110,PR-hXZzXy,dna
ACH-000822,PR-1GbOQ3,rna
ACH-000822,PR-33eWct,dna
ACH-002307,PR-IwcVXa,dna
ACH-000851,PR-x8rjfa,rna
ACH-000851,PR-4lF8e0,dna
ACH-002046,PR-uCnkK1,rna
ACH-002046,PR-phRbn2,dna
ACH-000821,PR-bm4xsG,rna
ACH-000821,PR-H5CCg3,dna
ACH-002485,PR-60Pdyw,rna
ACH-002485,PR-EtBUC0,dna
ACH-000863,PR-iRyHOd,rna
ACH-000863,PR-VLStra,dna
ACH-000262,PR-3Jaqa6,rna
ACH-000262,PR-tlSkiu,dna
ACH-000288,PR-zAYKaf,rna
ACH-000288,PR-43Hong,dna
ACH-003071,PR-HR5cVs,rna
ACH-003071,PR-fBhmJ1,dna
ACH-001503,PR-NyeSyA,rna
ACH-001503,PR-pZDApi,dna
ACH-001419,PR-O8jXE4,rna
ACH-001419,PR-IqCpcq,dna
ACH-002144,PR-z5WBjK,dna
ACH-001653,PR-LlLjKV,rna
ACH-001653,PR-zWyHnl,dna
ACH-000177,PR-VS2HIo,rna
ACH-000177,PR-QEFNJs,dna
ACH-002126,PR-u3DLBk,dna
ACH-000354,PR-GQJS9H,rna
ACH-000354,PR-RVdl85,dna
ACH-000089,PR-e8Fv3n,rna
ACH-000089,PR-r8D1FM,dna
ACH-000321,PR-kkVXF8,rna
ACH-000321,PR-0ndQ3C,dna
ACH-000813,PR-XEwrrU,rna
ACH-000813,PR-NqFlat,dna
ACH-000383,PR-p5PuMl,rna
ACH-000383,PR-hs2Mvr,dna
ACH-002677,PR-uz4ejM,rna
ACH-002677,PR-XVtuiY,dna
ACH-001203,PR-g3kS9D,dna
ACH-000348,PR-vM7wlE,rna
ACH-000348,PR-ZgrTvM,dna
ACH-000562,PR-I6cseI,rna
ACH-000562,PR-qwNCQ4,dna
ACH-001751,PR-FCFdSX,rna
ACH-001751,PR-L2ABsw,dna
ACH-002283,PR-bngsQf,rna
ACH-002283,PR-3PJVFB,dna
ACH-000907,PR-OlDHWy,rna
ACH-000907,PR-DbwlQN,dna
ACH-001691,PR-Luepaz,rna
ACH-001691,PR-2ei6MD,dna
ACH-000901,PR-6fNkuZ,rna
ACH-000901,PR-yY5sTt,dna
ACH-002193,PR-pjbvTk,dna
ACH-000260,PR-vCqYG0,rna
ACH-000260,PR-6sBBEB,dna
ACH-000623,PR-3q5Wwz,rna
ACH-000623,PR-gHfNU1,dna
ACH-001858,PR-RWNv81,rna
ACH-001858,PR-4HJAGr,dna
ACH-003141,PR-vOzu7M,rna
ACH-000434,PR-ykalCn,rna
ACH-000434,PR-14sBTC,dna
ACH-000458,PR-dIXDm8,rna
ACH-000458,PR-K5EUMa,dna
ACH-001685,PR-Zd9cwX,rna
ACH-001685,PR-K3zX9w,dna
ACH-000685,PR-jE4SjM,rna
ACH-000685,PR-KnZ4MA,dna
ACH-001994,PR-oKADnp,rna
ACH-001994,PR-Hkabt7,dna
ACH-002796,PR-2VgCsB,rna
ACH-002796,PR-q7gHJz,dna
ACH-000122,PR-gGFptV,rna
ACH-000122,PR-65U3FP,dna
ACH-000422,PR-rlMjor,rna
ACH-000422,PR-Z29WnC,dna
ACH-002276,PR-aXILcs,dna
ACH-003429,PR-m3ZoDr,dna
ACH-000711,PR-TQalP0,rna
ACH-000711,PR-WRa9AK,dna
ACH-001807,PR-qKd3RL,rna
ACH-001807,PR-dUx44m,dna
ACH-001209,PR-2NFdzg,rna
ACH-001209,PR-6pJTKH,dna
ACH-002264,PR-h5NMdB,dna
ACH-002387,PR-yVIatm,dna
ACH-000760,PR-uOhnZZ,rna
ACH-000760,PR-nhopBm,dna
ACH-002801,PR-0TqtF4,rna
ACH-002801,PR-5QjuhC,dna
ACH-000488,PR-W6AD3J,rna
ACH-000488,PR-IRf5z2,dna
ACH-000964,PR-tYD2aE,rna
ACH-000964,PR-12QdUO,dna
ACH-000934,PR-Gj6QEV,rna
ACH-000934,PR-w49cqq,dna
ACH-000299,PR-CH0d85,rna
ACH-000299,PR-L3FIui,dna
ACH-002067,PR-Ft3wbx,rna
ACH-002067,PR-GWI1RK,dna
ACH-001481,PR-FfTeLb,rna
ACH-001481,PR-MedeG1,dna
ACH-002136,PR-usLYqC,dna
ACH-002222,PR-Sitlx9,dna
ACH-000523,PR-qsDmbH,rna
ACH-000523,PR-RZUnHd,dna
ACH-002277,PR-rIEjXG,dna
ACH-000646,PR-e97U8R,rna
ACH-000646,PR-lzNVRi,dna
ACH-000691,PR-j9iGx5,rna
ACH-000691,PR-IxWu6d,dna
ACH-002363,PR-reftw6,dna
ACH-001306,PR-RUkMGW,rna
ACH-001306,PR-2KTJS4,dna
ACH-000746,PR-LD8ryu,rna
ACH-000746,PR-eqyUyf,dna
ACH-000408,PR-sZ6bMf,rna
ACH-000408,PR-lygO7l,dna
ACH-000569,PR-QZIc8h,rna
ACH-000569,PR-TLmgkJ,dna
ACH-001415,PR-nAkgJE,rna
ACH-001415,PR-SKoeyK,dna
ACH-001147,PR-tJqfsR,rna
ACH-001147,PR-meswUv,dna
ACH-000657,PR-MKZvyD,rna
ACH-000657,PR-sn0EQB,dna
ACH-000071,PR-BqMy4n,rna
ACH-000687,PR-OWLZ9l,rna
ACH-000687,PR-wwQB7j,dna
ACH-000587,PR-dmYRK0,rna
ACH-000587,PR-7M6hyK,dna
ACH-001971,PR-7moAnB,rna
ACH-001971,PR-sWq53R,dna
ACH-001207,PR-H4LejU,rna
ACH-000588,PR-HOjBkF,rna
ACH-000588,PR-nQXJzs,dna
ACH-000378,PR-D5Zjey,rna
ACH-000378,PR-BTEHU6,dna
ACH-003148,PR-5DLC8Z,rna
ACH-000261,PR-z0gT24,rna
ACH-000261,PR-4FG12g,dna
ACH-001566,PR-wNr1Yv,rna
ACH-001566,PR-XFxyxc,dna
ACH-000768,PR-6b02yU,rna
ACH-000768,PR-X96ugW,dna
ACH-002790,PR-CLyB0X,rna
ACH-002790,PR-wcXD7g,dna
ACH-002140,PR-if8jun,dna
ACH-001537,PR-0rx9JA,rna
ACH-001537,PR-BFrShL,dna
ACH-001184,PR-6MN8xw,rna
ACH-001184,PR-m1QN4m,dna
ACH-001398,PR-hZhjZA,rna
ACH-001398,PR-Z7RHS2,dna
ACH-002290,PR-IFUGut,rna
ACH-002290,PR-uSMhrI,dna
ACH-001417,PR-1xuv37,dna
ACH-001639,PR-5sCxrE,dna
ACH-000069,PR-33A9G9,rna
ACH-000069,PR-ypI3pl,dna
ACH-001667,PR-fSxWMu,rna
ACH-001667,PR-P70lSh,dna
ACH-002244,PR-7hHZ69,dna
ACH-000333,PR-Md0yPq,rna
ACH-001949,PR-dirmYZ,rna
ACH-001949,PR-lhMBt6,dna
ACH-002106,PR-IiBaqI,dna
ACH-000384,PR-Z78nJR,rna
ACH-000384,PR-y8SruX,dna
ACH-000224,PR-PWhm64,rna
ACH-000224,PR-TvKzhh,dna
ACH-001699,PR-3BJhtr,rna
ACH-001699,PR-cIS47b,dna
ACH-003103,PR-GR8pVV,rna
ACH-003103,PR-MjJjJT,dna
ACH-002305,PR-8D5wB9,dna
ACH-002280,PR-qMKheG,dna
ACH-000575,PR-0B6q0Z,rna
ACH-002659,PR-8MVaEE,rna
ACH-002659,PR-AQQ8je,dna
ACH-001106,PR-g3t2bv,rna
ACH-001106,PR-JEv1oA,dna
ACH-002240,PR-cPO7yw,dna
ACH-002792,PR-SaRcOg,rna
ACH-002792,PR-5YT1OE,dna
ACH-002209,PR-IfWBJl,dna
ACH-000840,PR-7YMowa,rna
ACH-000840,PR-qmmet5,dna
ACH-000003,PR-jIbcm8,rna
ACH-000278,PR-P5yLUL,rna
ACH-000278,PR-ZYtjVT,dna
ACH-000272,PR-AsiaZV,rna
ACH-000272,PR-tqUPnF,dna
ACH-000398,PR-lsm4JW,rna
ACH-000398,PR-eUFjmR,dna
ACH-001852,PR-eAkhgm,rna
ACH-001852,PR-aSfLU6,dna
ACH-000025,PR-1x4KRV,rna
ACH-000025,PR-OojYLt,dna
ACH-000453,PR-IobBeJ,rna
ACH-000453,PR-mXUTIx,dna
ACH-001719,PR-CLUusD,rna
ACH-001719,PR-nHAA3n,dna
ACH-000638,PR-l8Di5B,rna
ACH-000638,PR-727ZKc,dna
ACH-000046,PR-s5pYAd,rna
ACH-000046,PR-NXn9fL,dna
ACH-000640,PR-WefPGM,rna
ACH-000640,PR-PNKnmM,dna
ACH-000228,PR-I3AQvS,rna
ACH-000228,PR-fsqxV3,dna
ACH-000464,PR-V7nTHQ,rna
ACH-000464,PR-sKTs2p,dna
ACH-001980,PR-y9tBiy,rna
ACH-001980,PR-qLmgDV,dna
ACH-000114,PR-afq7Fp,rna
